Rumah,,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Butuh Renovasi 2 Lantai SHM hadap Timur di Bandung,"Andir, Bandung",4,2,4,240 m²,200 m²
Rumah,,"Rp 10,5 Miliar",Cicilan: 39 Jutaan per bulan,Jual Rumah Luas Dan Strategis Mainroad Rajawali Bandung,"Andir, Bandung",9,3,6,660 m²,200 m²
Rumah,,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,Dijual Rumah Bagus Di Maltra Residence Maleber (phlp),"Andir, Bandung",3,2,0,137 m²,170 m²
Rumah,,"Rp 10,5 Miliar",Cicilan: 39 Jutaan per bulan,Rumah Lama di Rajawali Dekat Telkom Dan Rs,"Andir, Bandung",9,3,3,660 m²,200 m²
Rumah,,"Rp 1,2 Miliar",Cicilan: 4 Jutaan per bulan,Rumah Hitung Tanah di Komplek Elang,"Andir, Bandung",3,2,0,126 m²,98 m²
Rumah,,Rp 875 Juta,Cicilan: 3 Jutaan per bulan,Dijual Rumah Murah Strategis di Komp Pesona Pasteur Residence,"Andir, Bandung",2,1,0,100 m²,60 m²
Rumah,,"Rp 5,5 Miliar",Cicilan: 20 Jutaan per bulan,Dijual Rumah Nyaman Furnish Terawat di Dadali,"Andir, Bandung",4,3,0,394 m²,420 m²
Rumah,,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Hitung Tanah Dekat Masjid Sayap Dadali Bandung,"Andir, Bandung",3,2,0,233 m²,230 m²
Rumah,,"Rp 2,2 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Dijual Terawat Siap Huni di Area Rajawali,"Andir, Bandung",3,3,0,159 m²,130 m²
Rumah,,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,Dijual rumah di Andir Townhouse,"Andir, Bandung",3,3,1,63 m²,63 m²
Rumah,,Rp 7 Miliar,Cicilan: 26 Jutaan per bulan,"Rumah 2,5 Lantai Strategis Tengah Kota di Sayap Sudirman Bandung","Andir, Bandung",6,4,0,143 m²,288 m²
